domain,holder1,holder2,holder3,holder4
larecherche.fr,Claude Perdriel,,,
nouveau-magazine-litteraire.com,Claude Perdriel,,,
sciencesetavenir.fr,Claude Perdriel,,,
challenges.fr,Claude Perdriel,,,
fip.fr,la République Française,,,
franceculture.fr,la République Française,,,
franceinter.fr,la République Française,,,
francemusique.fr,la République Française,,,
francebleu.fr,la République Française,,,
mouv.fr,la République Française,,,
francetvinfo.fr,la République Française,,,
france.tv,la République Française,,,
tv5monde.com,la République Française,,,
france24.com,la République Française,,,
rfi.fr,la République Française,,,
mc-doualiya.com,la République Française,,,
lcp.fr,la République Française,,,
yahoo.com,Verizon,,,
arte.tv,la République Française,la République Fédérale d'Allemagne,,
theconversation.com,The Conversation Trust,,,
31metrescarres.fr,Marc Ladreit de Lacharrière,,,
750g.com,Marc Ladreit de Lacharrière,,,
academiedugout.fr,Marc Ladreit de Lacharrière,,,
alibabuy.com,Marc Ladreit de Lacharrière,,,
allocine.fr,Marc Ladreit de Lacharrière,,,
boxoffice.com,Marc Ladreit de Lacharrière,,,
boxofficepro.com,Marc Ladreit de Lacharrière,,,
cezigue.fr,Marc Ladreit de Lacharrière,,,
chartsinfrance.net,Marc Ladreit de Lacharrière,,,
drgood.fr,Marc Ladreit de Lacharrière,,,
easyvols.fr,Marc Ladreit de Lacharrière,,,
easyvoyage.com,Marc Ladreit de Lacharrière,,,
jeuxactu.com,Marc Ladreit de Lacharrière,,,
jeuxvideo.com,Marc Ladreit de Lacharrière,,,
lesbonnesbouilles.fr,Marc Ladreit de Lacharrière,,,
lollfl.com,Marc Ladreit de Lacharrière,,,
millenium.org,Marc Ladreit de Lacharrière,,,
officiel-des-vacances.com,Marc Ladreit de Lacharrière,,,
ozap.com,Marc Ladreit de Lacharrière,,,
parentepuise.com,Marc Ladreit de Lacharrière,,,
purebreak.com,Marc Ladreit de Lacharrière,,,
purepeople.com,Marc Ladreit de Lacharrière,,,
puretrend.com,Marc Ladreit de Lacharrière,,,
prescriptionlab.com,Marc Ladreit de Lacharrière,,,
runbabyrun.fr,Marc Ladreit de Lacharrière,,,
shopoon.fr,Marc Ladreit de Lacharrière,,,
terrafemina.com,Marc Ladreit de Lacharrière,,,
toocamp.com,Marc Ladreit de Lacharrière,,,
